# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 10K of event 'cpu/mem-loads/pp'
# Total weight : 96938
# Sort order   : (null)
#
# Overhead       Samples  Local Weight             Memory access                  Symbol      Shared Object             Data Symbol             Data Object         Snoop              TLB access  Locked
# ........  ............  ............  ........................  ......................  .................  ......................  ......................  ............  ......................  ......
#
     0.09%             7  12            L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e141cc  [stack]                 None          L1 or L2 hit            No    
     0.09%             7  12            L1 hit                    [.] 0x0000000000000874  a.out              [.] 0x00007fff57e1428c  [stack]                 None          L1 or L2 hit            No    
     0.09%             7  12            L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e142c8  [stack]                 None          L1 or L2 hit            No    
     0.09%             7  12            L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e142cc  [stack]                 None          L1 or L2 hit            No    
     0.09%             7  12            L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e14388  [stack]                 None          L1 or L2 hit            No    
     0.09%             7  12            L1 hit                    [.] 0x0000000000000874  a.out              [.] 0x00007fff57e143cc  [stack]                 None          L1 or L2 hit            No    
     0.09%             7  12            L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e144c8  [stack]                 None          L1 or L2 hit            No    
     0.09%             7  12            L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e144cc  [stack]                 None          L1 or L2 hit            No    
     0.09%            12  7             L1 hit                    [.] 0x0000000000000858  a.out              [.] 0x00007fff57e13eb8  [stack]                 None          L1 or L2 hit            No    
     0.09%            12  7             L1 hit                    [.] 0x0000000000000858  a.out              [.] 0x00007fff57e13f38  [stack]                 None          L1 or L2 hit            No    
     0.09%            12  7             L1 hit                    [.] 0x0000000000000892  a.out              [.] 0x00007fff57e13fd0  [stack]                 None          L1 or L2 hit            No    
     0.09%            12  7             L1 hit                    [.] 0x0000000000000858  a.out              [.] 0x00007fff57e141f8  [stack]                 None          L1 or L2 hit            No    
     0.09%            12  7             L1 hit                    [.] 0x0000000000000840  a.out              [.] 0x00007fff57e14234  [stack]                 None          L1 or L2 hit            No    
     0.09%            12  7             L1 hit                    [.] 0x0000000000000892  a.out              [.] 0x00007fff57e14250  [stack]                 None          L1 or L2 hit            No    
     0.09%            12  7             L1 hit                    [.] 0x0000000000000840  a.out              [.] 0x00007fff57e143b4  [stack]                 None          L1 or L2 hit            No    
     0.09%            12  7             L1 hit                    [.] 0x0000000000000863  a.out              [.] 0x00007fff57e14410  [stack]                 None          L1 or L2 hit            No    
     0.09%            12  7             L1 hit                    [.] 0x0000000000000887  a.out              [.] 0x00007fff57e14478  [stack]                 None          L1 or L2 hit            No    
     0.09%            12  7             L1 hit                    [.] 0x0000000000000840  a.out              [.] 0x00007fff57e144b4  [stack]                 None          L1 or L2 hit            No    
     0.09%            12  7             L1 hit                    [.] 0x0000000000000840  a.out              [.] 0x00007fff57e145b4  [stack]                 None          L1 or L2 hit            No    
     0.08%             4  20            L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e1434c  [stack]                 None          L1 or L2 hit            No    
     0.08%            10  8             L1 hit                    [.] 0x0000000000000863  a.out              [.] 0x00007fff57e14050  [stack]                 None          L1 or L2 hit            No    
     0.08%            10  8             L1 hit                    [.] 0x0000000000000863  a.out              [.] 0x00007fff57e14190  [stack]                 None          L1 or L2 hit            No    
     0.08%            10  8             L1 hit                    [.] 0x0000000000000840  a.out              [.] 0x00007fff57e14234  [stack]                 None          L1 or L2 hit            No    
